Java ,low,no,128,1,0.072
Java ,medium,no,128,1,0.013
Java ,high,no,128,1,0.008
Java ,no,yes,128,1,0.008129
Java ,low,no,256,1,0.07
Java ,medium,no,256,1,0.03
Java ,high,no,256,1,0.017
Java ,no,yes,256,1,0.008112
Java ,low,no,512,1,0.161
Java ,medium,no,512,1,0.074
Java ,high,no,512,1,0.042
Java ,no,yes,512,1,0.015946
Java ,low,no,1024,1,0.429
Java ,medium,no,1024,1,0.167
Java ,high,no,1024,1,0.102
Java ,no,yes,1024,1,0.032177
Java ,low,no,2048,1,0.739
Java ,medium,no,2048,1,0.274
Java ,high,no,2048,1,0.171
Java ,no,yes,2048,1,0.066103
Java ,low,no,128,2,0
Java ,medium,no,128,2,0
Java ,high,no,128,2,0
Java ,no,yes,128,2,0
Java ,low,no,256,2,0.671
Java ,medium,no,256,2,0.067
Java ,high,no,256,2,0.035
Java ,no,yes,256,2,0
Java ,low,no,512,2,0.713
Java ,medium,no,512,2,0.132
Java ,high,no,512,2,0.173
Java ,no,yes,512,2,0.06137
Java ,low,no,1024,2,0.74
Java ,medium,no,1024,2,0.321
Java ,high,no,1024,2,0.18
Java ,no,yes,1024,2,0.062976
Java ,low,no,2048,2,0.618
Java ,medium,no,2048,2,0.275
Java ,high,no,2048,2,0.167
Java ,no,yes,2048,2,0.06262
Python,low,no,128,1,0.289749176
Python,medium,no,128,1,0.250044374
Python,high,no,128,1,0.100176304
Python,no,yes,128,1,0.000145512
Python,low,no,256,1,0.731507548
Python,medium,no,256,1,0.21901071
Python,high,no,256,1,0.040446462
Python,no,yes,256,1,0.000284263
Python,low,no,512,1,0.865662453
Python,medium,no,512,1,0.364147066
Python,high,no,512,1,0.136022975
Python,no,yes,512,1,0.000578764
Python,low,no,1024,1,0.945034467
Python,medium,no,1024,1,0.416662085
Python,high,no,1024,1,0.205173426
Python,no,yes,1024,1,0.001158923
Python,low,no,2048,1,0.989903674
Python,medium,no,2048,1,0.494974774
Python,high,no,2048,1,0.282660639
Python,no,yes,2048,1,0.002046757
Python,low,no,128,2,0.724230573
Python,medium,no,128,2,0.258907942
Python,high,no,128,2,0.298576322
Python,no,yes,128,2,0
Python,low,no,256,2,0.921892141
Python,medium,no,256,2,0.287917939
Python,high,no,256,2,0.134489721
Python,no,yes,256,2,0.000000246
Python,low,no,512,2,0.973230254
Python,medium,no,512,2,0.405801191
Python,high,no,512,2,0.254125615
Python,no,yes,512,2,0.0000012
Python,low,no,1024,2,0.851017952
Python,medium,no,1024,2,0.437557883
Python,high,no,1024,2,0.268809523
Python,no,yes,1024,2,0.000001
Python,low,no,2048,2,0.969360469
Python,medium,no,2048,2,0.484864166
Python,high,no,2048,2,0.28308381
